iter	RMSE
0	15.02244153
1	14.64026171
2	14.25598623
3	13.89405458
4	13.55096703
5	13.26094902
6	12.96310965
7	12.68725096
8	12.42655097
9	12.12656286
10	11.83957957
11	11.59738387
12	11.34619589
13	11.14004487
14	10.90412819
15	10.65453556
16	10.41583546
17	10.21950656
18	9.99804136
19	9.805549543
20	9.62336112
21	9.447974271
22	9.285174187
23	9.118731659
24	8.954931411
25	8.812162061
26	8.67480464
27	8.538859716
28	8.395445723
29	8.26744983
30	8.161081364
31	8.048138031
32	7.933649753
33	7.822781778
34	7.707804037
35	7.605104283
36	7.502209088
37	7.418863384
38	7.327910264
39	7.245373808
40	7.160993608
41	7.099203765
42	7.013704981
43	6.945881741
44	6.873553924
45	6.808345031
46	6.73224585
47	6.673270895
48	6.605318624
49	6.540718309
50	6.479517852
51	6.417030291
52	6.364374696
53	6.31017336
54	6.257863556
55	6.210244848
56	6.165383767
57	6.123910014
58	6.085182367
59	6.047967091
60	6.011175525
61	5.975087489
62	5.943155368
63	5.907833788
64	5.873895145
65	5.8416694
66	5.811605375
67	5.782124514
68	5.75864746
69	5.730589651
70	5.701226986
71	5.675968656
72	5.653969184
73	5.627171102
74	5.606017747
75	5.58295078
76	5.563365876
77	5.544099647
78	5.527637671
79	5.508760669
80	5.49775547
81	5.475636321
82	5.458465992
83	5.450673093
84	5.440680878
85	5.425801566
86	5.408677033
87	5.393520321
88	5.377295847
89	5.364957498
90	5.346060599
91	5.336275485
92	5.322299616
93	5.311756043
94	5.301834234
95	5.287667797
96	5.276959898
97	5.265999521
98	5.254294738
99	5.240922364
100	5.230897706
101	5.219509593
102	5.210078016
103	5.198073709
104	5.188240515
105	5.178382768
106	5.168755056
107	5.158992537
108	5.148189223
109	5.138413413
110	5.129007606
111	5.121063737
112	5.113795346
113	5.104599255
114	5.098251791
115	5.088861909
116	5.083077594
117	5.078789583
118	5.07103331
119	5.061814162
120	5.057544417
121	5.052742049
122	5.043295927
123	5.036830404
124	5.03264212
125	5.026729222
126	5.021175563
127	5.012715849
128	5.006489645
